"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-11",,"89","100","77",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-12",,"88","98","78",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-13",,"87","94","79",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-14",,"88","98","76",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-15",,"89","98","79",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-16",,"88","100","78",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-17",,"83","92","74",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-18",,"79","82","73",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-19",,"80","86","66",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-20",,"81","84","74",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-21",,"72","79","61",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-22",,"76","86","66",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-23",,"78","87","65",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-24",,"76","84","65",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-25",,"74","87","63",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-26",,"79","91","67",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-27",,"84","94","72",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-28",,"86","95","77",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-29",,"88","98","77",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-30",,"88","98","79",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-31",,"80","94","69",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-01",,"68","82","56",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-02",,"65","80","52",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-03",,"72","83","58",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-04",,"78","89","67",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-05",,"83","94","72",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-06",,"87","97","76",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-07",,"89","100","79",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-08",,"91","101","84",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-09",,"88","99","76",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-10",,"79","88","70",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-11",,"77","88","67",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-12",,"80","90","68",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-13",,"81","91","72",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-14",,"82","91","73",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-15",,"78","89","69",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-16",,"71","84","58",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-17",,"69","85","55",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-18",,"65","76","55",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-19",,"67","74","59",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-20",,"79","83","72",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-21",,"87","90","84",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-22",,"89","92","86",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-23",,"88","90","85",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-24",,"90","91","89",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-25",,"86","87","84",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-26",,"79","81","78",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-27",,"75","76","74",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-28",,"68","72","63",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-09-29",,"75","78","69",
